,Czas,Temperatura,Naslonecznienie,Wilgotnosc powietrza,Wilgotnosc gleby,Wiatrak,Zarowka,Serwonapęd,Pompa,Tryb
0,2018-11-30_17:38:30,19.7,48.6,37.9,5.3,0,0,0,0,A
1,2018-11-30_17:38:41,19.5,48.1,38.0,5.1,0,0,0,0,A
2,2018-11-30_17:38:52,19.5,48.7,38.0,5.3,0,0,0,0,A
3,2018-11-30_17:39:03,17.9,48.0,34.2,5.2,0,0,0,0,A
4,2018-11-30_17:39:14,17.9,48.3,34.2,5.1,0,0,0,0,A
5,2018-11-30_17:39:25,19.9,48.7,37.1,5.2,0,0,0,0,A
6,2018-11-30_17:39:36,19.9,48.4,37.1,5.0,0,0,0,0,A
7,2018-11-30_17:39:47,19.7,48.3,37.8,5.2,0,0,0,0,A
8,2018-11-30_17:39:58,19.7,48.4,37.8,5.5,0,0,0,0,A
9,2018-11-30_17:40:09,19.7,48.3,38.9,5.1,0,0,0,0,A
10,2018-11-30_17:40:20,19.7,48.4,39.0,5.1,0,0,0,0,A
11,2018-11-30_17:40:31,19.7,48.7,39.0,5.1,0,0,0,0,A
12,2018-11-30_17:40:42,19.7,48.0,39.1,5.2,0,0,0,0,A
13,2018-11-30_17:40:53,19.7,47.8,39.1,5.1,0,0,0,0,A
14,2018-11-30_17:41:04,19.4,48.5,39.3,5.1,0,0,0,0,A
15,2018-11-30_17:41:15,19.4,48.2,39.3,5.0,0,0,0,0,A
16,2018-11-30_17:41:26,19.7,48.2,39.0,5.0,0,0,0,0,A
17,2018-11-30_17:41:37,19.7,48.4,39.0,5.0,0,0,0,0,A
18,2018-11-30_17:41:47,19.8,48.1,39.8,5.0,0,0,0,0,A
19,2018-11-30_17:41:58,19.8,48.1,39.8,5.1,0,0,0,0,A
20,2018-11-30_17:42:09,20.0,48.2,39.2,5.1,0,0,0,0,A
21,2018-11-30_17:42:20,20.0,48.4,39.0,5.0,0,0,0,0,A
22,2018-11-30_17:42:31,20.0,48.2,39.0,5.1,0,0,0,0,A
23,2018-11-30_17:42:42,20.0,48.1,39.0,5.2,0,0,0,0,A
24,2018-11-30_17:42:53,20.0,48.4,39.0,5.1,0,0,0,0,A
25,2018-11-30_17:43:04,20.0,48.1,39.0,5.1,0,0,0,0,A
26,2018-11-30_17:43:15,20.0,48.1,39.0,5.1,0,0,0,0,A
27,2018-11-30_17:43:26,20.0,48.2,39.0,5.0,0,0,0,0,A
28,2018-11-30_17:43:37,20.0,47.9,39.0,5.0,0,0,0,0,A
29,2018-11-30_17:43:48,20.0,48.1,39.0,5.1,0,0,0,0,A
30,2018-11-30_17:43:59,20.0,48.1,39.3,5.1,0,0,0,0,A
31,2018-11-30_17:44:10,20.0,48.3,39.3,5.0,0,0,0,0,A
32,2018-11-30_17:44:21,20.0,48.1,39.0,5.1,0,0,0,0,A
33,2018-11-30_17:44:32,20.0,47.9,39.0,5.0,0,0,0,0,A
34,2018-11-30_17:44:43,20.0,48.5,39.9,5.1,0,0,0,0,A
35,2018-11-30_17:44:54,20.0,47.8,39.9,5.0,0,0,0,0,A
36,2018-11-30_17:45:05,20.0,47.9,40.0,5.0,0,0,0,0,A
37,2018-11-30_17:45:16,20.0,48.7,40.0,5.0,0,0,0,0,A
38,2018-11-30_17:45:27,20.0,48.4,40.0,5.1,0,0,0,0,A
39,2018-11-30_17:45:38,20.0,48.6,40.0,5.1,0,0,0,0,A
40,2018-11-30_17:45:49,20.0,48.6,40.0,5.1,0,0,0,0,A
41,2018-11-30_17:46:00,20.0,48.2,39.7,4.9,0,0,0,0,A
42,2018-11-30_17:46:11,20.0,48.4,39.7,5.0,0,0,0,0,A
43,2018-11-30_17:46:22,20.0,48.5,39.1,5.0,0,0,0,0,A
44,2018-11-30_17:46:33,20.0,48.3,39.1,5.0,0,0,0,0,A
45,2018-11-30_17:46:44,20.0,48.3,39.3,5.0,0,0,0,0,A
46,2018-11-30_17:46:55,20.0,48.5,39.3,5.0,0,0,0,0,A
47,2018-11-30_17:47:06,20.0,48.6,40.0,5.0,0,0,0,0,A
48,2018-11-30_17:47:17,20.0,48.5,40.0,4.9,0,0,0,0,A
49,2018-11-30_17:47:28,20.0,48.4,40.0,5.0,0,0,0,0,A
50,2018-11-30_17:47:39,20.0,48.1,40.0,4.9,0,0,0,0,A
51,2018-11-30_17:47:50,20.0,48.6,40.0,5.0,0,0,0,0,A
52,2018-11-30_17:48:01,20.0,48.7,40.0,5.0,0,0,0,0,A
53,2018-11-30_17:48:12,20.0,47.9,40.0,5.0,0,0,0,0,A
54,2018-11-30_17:48:23,20.0,48.7,40.0,5.0,0,0,0,0,A
55,2018-11-30_17:48:34,20.0,48.5,40.0,4.8,0,0,0,0,A
56,2018-11-30_17:48:45,20.0,47.8,40.0,4.8,0,0,0,0,A
57,2018-11-30_17:48:56,20.0,48.4,40.0,5.0,0,0,0,0,A
58,2018-11-30_17:49:07,20.0,48.5,40.0,5.0,0,0,0,0,A
59,2018-11-30_17:49:18,20.0,48.5,40.0,4.7,0,0,0,0,A
60,2018-11-30_17:49:29,20.0,48.4,40.0,4.9,0,0,0,0,A
61,2018-11-30_17:49:40,20.0,48.8,40.0,5.0,0,0,0,0,A
62,2018-11-30_17:49:51,20.0,48.7,40.0,4.9,0,0,0,0,A
63,2018-11-30_17:50:02,20.0,48.4,40.0,5.0,0,0,0,0,A
64,2018-11-30_17:50:13,20.0,48.5,40.0,4.9,0,0,0,0,A
65,2018-11-30_17:50:24,20.0,48.4,40.0,5.0,0,0,0,0,A
66,2018-11-30_17:50:35,20.0,48.6,40.0,5.0,0,0,0,0,A
67,2018-11-30_17:50:46,20.0,48.6,39.4,4.9,0,0,0,0,A
68,2018-11-30_17:50:57,20.0,48.8,39.4,4.9,0,0,0,0,A
69,2018-11-30_17:51:08,20.0,48.8,39.3,5.0,0,0,0,0,A
70,2018-11-30_17:51:19,20.0,48.7,39.1,4.9,0,0,0,0,A
71,2018-11-30_17:51:30,20.0,48.9,39.1,5.0,0,0,0,0,A
72,2018-11-30_17:51:41,20.0,49.1,39.0,4.8,0,0,0,0,A
73,2018-11-30_17:51:52,20.0,48.4,39.0,4.8,0,0,0,0,A
74,2018-11-30_17:52:03,20.0,49.5,39.0,5.0,0,0,0,0,A
75,2018-11-30_17:52:14,20.0,48.1,39.0,4.9,0,0,0,0,A
76,2018-11-30_17:52:25,20.0,49.4,39.9,4.9,0,0,0,0,A
77,2018-11-30_17:52:36,20.0,48.7,39.9,5.0,0,0,0,0,A
78,2018-11-30_17:52:47,20.0,49.0,39.1,4.9,0,0,0,0,A
79,2018-11-30_17:52:59,20.0,49.0,39.0,5.0,1,0,0,0,M
80,2018-11-30_17:53:10,20.0,48.7,39.0,5.0,1,0,0,1,M
81,2018-11-30_17:53:21,20.0,48.7,39.0,5.0,1,0,0,0,M
82,2018-11-30_17:53:32,20.0,49.2,39.0,4.8,1,1,0,0,M
83,2018-11-30_17:53:43,18.0,49.6,39.0,4.7,0,1,0,1,M
84,2018-11-30_17:53:54,18.0,49.2,35.1,5.0,0,1,0,0,A
